"id","location_srs","location_x","location_y","operator","elevation","slope","aspect","actively_saved","actively_saved_on_year","actively_saved_on_month","actively_saved_on_day","plot_file","calculated_elevation_range","calculated_elevation_range_label","calculated_aspect","calculated_aspect_label","calculated_slope","calculated_slope_label","disturbance","year","comment"
"49","EPSG:4326","8.270666717","51.06509976","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"50","EPSG:4326","8.010470498","51.21289771","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"51","EPSG:4326","8.186475277","51.13835031","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"52","EPSG:4326","8.109994811","51.11424974","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"53","EPSG:4326","8.256258808","51.07718024","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"54","EPSG:4326","8.15917766","51.10931893","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"55","EPSG:4326","8.499148701","51.14223214","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"56","EPSG:4326","8.444358296","50.9839876","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"57","EPSG:4326","8.405077469","51.02591583","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"58","EPSG:4326","8.289952053","50.93308454","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"59","EPSG:4326","8.002001094","51.22455364","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"60","EPSG:4326","8.106162035","51.22429089","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"61","EPSG:4326","8.301544405","50.94090446","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"62","EPSG:4326","8.051417885","51.17852574","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"63","EPSG:4326","7.954051335","51.0882396","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"64","EPSG:4326","8.189397713","51.14901556","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"65","EPSG:4326","8.317848679","51.10785748","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"66","EPSG:4326","8.105672197","51.11390032","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"67","EPSG:4326","8.09953143","51.12936911","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"68","EPSG:4326","8.24389554","51.04747556","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"69","EPSG:4326","8.294619258","51.09387453","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"70","EPSG:4326","8.104140927","51.2456309","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"71","EPSG:4326","8.139223716","51.23130005","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"72","EPSG:4326","8.081183686","51.10804934","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"73","EPSG:4326","8.373980349","51.09341999","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"74","EPSG:4326","8.318814315","51.09973213","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"75","EPSG:4326","8.487177086","51.14098987","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,"2007"
"76","EPSG:4326","8.25113782","51.07888197","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"77","EPSG:4326","8.301979437","50.9297867","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"78","EPSG:4326","7.908681635","51.08873873","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"79","EPSG:4326","8.391016885","50.93226412","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"80","EPSG:4326","7.973961702","51.08224869","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"81","EPSG:4326","7.861490354","51.14704066","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"82","EPSG:4326","8.304198678","50.93475063","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"83","EPSG:4326","8.358116271","51.09282667","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"84","EPSG:4326","8.460475776","51.0719687","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","true",,"2018"
"85","EPSG:4326","8.348034851","51.05349007","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,"vor 2015"
"86","EPSG:4326","8.080570328","51.12054799","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"87","EPSG:4326","7.97604958","51.2300023","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"88","EPSG:4326","8.37436003","51.12302742","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"89","EPSG:4326","8.232048938","51.08922999","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"90","EPSG:4326","8.397166335","51.02899453","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,"2007"
"91","EPSG:4326","7.965137515","51.21925777","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"92","EPSG:4326","8.489844133","51.14738878","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"93","EPSG:4326","8.15557947","51.10594227","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
